epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,175.287,1.66166,2.84868,0.00778,0.89441,0.15576,0.30215,0.1697,1.52085,2.58943,0.00592,0.000548807,0.000548807,0.000548807
2,325.571,1.57202,1.59014,0.00717,0.62768,0.42751,0.45872,0.24018,1.57745,1.39434,0.00636,0.00099513,0.00099513,0.00099513
3,476.499,1.5788,1.20449,0.0072,0.66268,0.48272,0.50788,0.23238,1.86347,1.1181,0.00712,0.00133143,0.00133143,0.00133143
4,632.605,1.56876,1.01145,0.00717,0.73147,0.51872,0.55557,0.30164,1.49064,0.91559,0.006,0.0011719,0.0011719,0.0011719
5,775.709,1.54134,0.89176,0.00699,0.74045,0.56716,0.59301,0.31659,1.54738,0.84196,0.00604,0.00100687,0.00100687,0.00100687
6,916.39,1.48923,0.81778,0.00664,0.75257,0.57323,0.60389,0.33725,1.4291,0.75817,0.00574,0.000841835,0.000841835,0.000841835
7,1054.95,1.46014,0.77582,0.00641,0.77076,0.57812,0.61963,0.35637,1.41413,0.71428,0.00552,0.000676802,0.000676802,0.000676802
8,1181.78,1.42601,0.73524,0.00616,0.79219,0.60034,0.63177,0.34785,1.47356,0.74865,0.00581,0.000511769,0.000511769,0.000511769
9,1320.83,1.40087,0.70553,0.00605,0.79801,0.60993,0.63761,0.37686,1.35012,0.68364,0.00516,0.000346736,0.000346736,0.000346736
10,1460.4,1.37179,0.68963,0.00586,0.81825,0.59847,0.63967,0.37901,1.33476,0.66971,0.00508,0.000181703,0.000181703,0.000181703
